region,,population
Western,,583704.00
Central,,581547.00
Greater Accra,,2316955.00
Volta,,409949.00
Eastern,,659473.00
Ashanti,,1694454.00
Brong Ahafo,,571132.00
Northern,,405998.00
Upper East,,123000.00
Upper West,,67704.00
